Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
20477316356,Thùng 10 gói khăn ướt Gumi không cồn không parabens cao cấp dành cho em bé,"184,0k",200k+,Gumi Hồ Chí Minh,"12,5%",₫22.080,https://shopee.vn/product/864405042/20477316356,https://s.shopee.vn/8AVloINIHy
20567055749,[CHÍNH HÃNG ĐỘC QUYỀN] Tẩy Tế Bào Chết Body Dove Chăm Da Sáng Mịn 280G,"191,0k",1tr+,Unilever - Chăm Sóc Cá Nhân,"4,5%",₫7.640,https://shopee.vn/product/111138057/20567055749,https://s.shopee.vn/80CLbzNvcx
23119593211,[CHÍNH HÃNG ĐỦ 10 MÀU] Khẩu Trang 5D THỊNH PHÁT 3 Lớp Vải Không Dệt Kháng Khuẩn Lọc Bụi Mịn Tia UV,"63,0k",600k+,Hana - Khẩu Trang Thịnh Phát,"12,5%",₫7.562,https://shopee.vn/product/13213141/23119593211,https://s.shopee.vn/9AOJ08JUGC
9318719838,"Xoài sấy dẻo Mẹ Rô. Có hồ sơ công bố, xuất hóa đơn công ty đầy đủ","55,0k",1tr+,THỰC PHẨM SẠCH MẸ RÔ SỐ 1,"10,5%",₫5.500,https://shopee.vn/product/104828612/9318719838,https://s.shopee.vn/904snpK7bB
17532975547,"Thùng 30 gói giấy ăn rút Topgia 3 màu cao cấp 4 lớp dày dặn, mềm mịn, thùng 16/36/40/46/10 gói","74,0k",2tr+,TopGia HCM,"12,5%",₫8.880,https://shopee.vn/product/729014007/17532975547,https://s.shopee.vn/8plSbWKkwA
23963831922,"Chai Xịt Khử Mùi Giày Dép NaNo Bạc,Xịt Khử Mùi Hôi Chân Nano 2024 -BA1994","14,4k",100k+,Gia Dụng Bình An 369,11%,₫1.585,https://shopee.vn/product/1181400240/23963831922,https://s.shopee.vn/8fS2PDLOH9
23922474647,"Tinh Dầu Treo Xe Ôtô, Tủ Quần Áo, Treo Thơm Phòng Mộc An Nhiên - 21 mùi hương","28,5k",600k+,AnNhiên Stores,"13,5%",₫3.705,https://shopee.vn/product/684726466/23922474647,https://s.shopee.vn/7AdEcSR6Js
20378802366,Tã quần Huggies Skincare Mega Jumbo M102+4/L100+4/XL84+4/XXL76+4,"440,0k",800k+,Huggies Official Store,"4,5%",₫17.600,https://shopee.vn/product/35284879/20378802366,https://s.shopee.vn/70JoQ9Rjer
23552060269,"Giấy vệ sinh treo tường TopGia đa sắc đa năng từ bột giấy thiên nhiên, 1280tờ/4lớp","85,0k",1tr+,TopGia HCM Store,"11,5%",₫9.350,https://shopee.vn/product/1016604648/23552060269,https://s.shopee.vn/6q0ODqSMzq
12786241026,Balo đi học nam nữ thương hiệu NATOLI nhiều ngăn chống nước tốt - Basic Backpack B2,"279,0k",70k+,Natoli Official Store,15%,₫41.850,https://shopee.vn/product/515748887/12786241026,https://s.shopee.vn/6fgy1XT0Kp
